Symbol,Open Price,Close Price,Percent Change,Volume,Turnover,Date Collected
AIRTEL,96.99,96.99,0.0,0.0,0.0,15:58.2
BHL,10.06,10.06,0.0,0.0,0.0,15:58.2
FDHB,67.98,67.98,0.0,0.0,0.0,15:58.2
FMBCH,296.14,300,0.0,565723.0,169716900.0,15:58.2
ICON,17.94,17.94,0.0,0.0,0.0,15:58.2
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,15:58.2
MPICO,15,15,0.0,0.0,0.0,15:58.2
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,15:58.2
NBS,107.44,107.44,0.0,122704.0,13183320.0,15:58.2
NICO,155.5,155.5,0.0,0.0,0.0,15:58.2
NITL,410,410,0.0,0.0,0.0,15:58.2
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,15:58.2
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,15:58.2
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,15:58.2
SUNBIRD,191.06,191.06,0.0,0.0,0.0,15:58.2
TNM,28.38,28.37,0.0,20000.0,567400.0,15:58.2
AIRTEL,96.99,96.99,0.0,0.0,0.0,16:08.0
BHL,10.06,10.06,0.0,0.0,0.0,16:08.0
FDHB,67.98,67.98,0.0,0.0,0.0,16:08.0
FMBCH,296.14,300,0.0,565723.0,169716900.0,16:08.0
ICON,17.94,17.94,0.0,0.0,0.0,16:08.0
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,16:08.0
MPICO,15,15,0.0,0.0,0.0,16:08.0
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,16:08.0
NBS,107.44,107.44,0.0,122704.0,13183320.0,16:08.0
NICO,155.5,155.5,0.0,0.0,0.0,16:08.0
NITL,410,410,0.0,0.0,0.0,16:08.0
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,16:08.0
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,16:08.0
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,16:08.0
SUNBIRD,191.06,191.06,0.0,0.0,0.0,16:08.0
TNM,28.38,28.37,0.0,20000.0,567400.0,16:08.0
AIRTEL,96.99,96.99,0.0,0.0,0.0,22:10.2
BHL,10.06,10.06,0.0,0.0,0.0,22:10.2
FDHB,67.98,67.98,0.0,0.0,0.0,22:10.2
FMBCH,296.14,300,0.0,565723.0,169716900.0,22:10.2
ICON,17.94,17.94,0.0,0.0,0.0,22:10.2
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,22:10.2
MPICO,15,15,0.0,0.0,0.0,22:10.2
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,22:10.2
NBS,107.44,107.44,0.0,122704.0,13183320.0,22:10.2
NICO,155.5,155.5,0.0,0.0,0.0,22:10.2
NITL,410,410,0.0,0.0,0.0,22:10.2
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,22:10.2
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,22:10.2
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,22:10.2
SUNBIRD,191.06,191.06,0.0,0.0,0.0,22:10.2
TNM,28.38,28.37,0.0,20000.0,567400.0,22:10.2
AIRTEL,96.99,96.99,0.0,0.0,0.0,23:11.5
BHL,10.06,10.06,0.0,0.0,0.0,23:11.5
FDHB,67.98,67.98,0.0,0.0,0.0,23:11.5
FMBCH,296.14,300,0.0,565723.0,169716900.0,23:11.5
ICON,17.94,17.94,0.0,0.0,0.0,23:11.5
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,23:11.5
MPICO,15,15,0.0,0.0,0.0,23:11.5
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,23:11.5
NBS,107.44,107.44,0.0,122704.0,13183320.0,23:11.5
NICO,155.5,155.5,0.0,0.0,0.0,23:11.5
NITL,410,410,0.0,0.0,0.0,23:11.5
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,23:11.5
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,23:11.5
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,23:11.5
SUNBIRD,191.06,191.06,0.0,0.0,0.0,23:11.5
TNM,28.38,28.37,0.0,20000.0,567400.0,23:11.5
AIRTEL,96.99,96.99,0.0,0.0,0.0,23:11.7
BHL,10.06,10.06,0.0,0.0,0.0,23:11.7
FDHB,67.98,67.98,0.0,0.0,0.0,23:11.7
FMBCH,296.14,300,0.0,565723.0,169716900.0,23:11.7
ICON,17.94,17.94,0.0,0.0,0.0,23:11.7
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,23:11.7
MPICO,15,15,0.0,0.0,0.0,23:11.7
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,23:11.7
NBS,107.44,107.44,0.0,122704.0,13183320.0,23:11.7
NICO,155.5,155.5,0.0,0.0,0.0,23:11.7
NITL,410,410,0.0,0.0,0.0,23:11.7
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,23:11.7
